id,ref_date,corp,source,subsidy
911151,2021-04-22,Air Canada,Canada Revenue Agency (CRA),586000000
910565,2021-04-06,Suncor Energy,Canada Revenue Agency (CRA),333215488
908834,2021-02-16,Canadian Natural Resources,Canada Revenue Agency (CRA),192648603.55
908743,2021-02-15,Imperial Oil,Canada Revenue Agency (CRA),156000000
908767,2021-02-15,FCA (Fiat-Chrysler) Canada,Canada Revenue Agency (CRA),140959472
907642,2021-01-18,BCE (Bell Canada Enterprises),Canada Revenue Agency (CRA),122853243
910946,2021-04-14,Honda Canada,Canada Revenue Agency (CRA),93184000
908296,2021-02-02,Ford Motor Company of Canada,Canada Revenue Agency (CRA),86979116.6
907694,2021-01-22,Husky Oil Operations,Canada Revenue Agency (CRA),86003199.98
908090,2021-01-28,Rogers Communications,Canada Revenue Agency (CRA),82252881
907550,2021-01-15,ArcelorMittal Dofasco G.P.,Canada Revenue Agency (CRA),73911605.47
908331,2021-02-10,Vale Canada,Canada Revenue Agency (CRA),67725000
908159,2021-01-29,General Motors of Canada,Canada Revenue Agency (CRA),59353089
911035,2021-04-15,Airbus Canada,Canada Revenue Agency (CRA),57662731
909097,2021-02-19,Parkland Corporation,Canada Revenue Agency (CRA),52091638.01
907647,2021-01-18,Shell Canada Limited,Canada Revenue Agency (CRA),50175957
907519,2021-01-15,Cenovus Energy Inc.,Canada Revenue Agency (CRA),39722980
907485,2021-01-18,TELUS Corporation,Canada Revenue Agency (CRA),38564399.32
907697,2021-01-27,Pembina Pipeline Corporation,Canada Revenue Agency (CRA),37313727
908254,2021-02-01,CAMECO CORPORATION,Canada Revenue Agency (CRA),37300000
908744,2021-02-15,ExxonMobil Canada Ltd.,Canada Revenue Agency (CRA),30000000
908728,2021-02-15,Ovintiv Canada ULC,Canada Revenue Agency (CRA) Canada Emergency Wage Subsidy (CEWS) Administration,25919440
911174,2021-04-19,"Michelin North America, Inc.",Canada Revenue Agency (CRA),20020432.49
908470,2021-02-05,Inter Pipeline Ltd.,Canada Revenue Agency (CRA),19600000
908542,2021-02-10,United Farmers of Alberta,Canada Revenue Agency (CRA),16700000
910642,2021-04-08,Canopy Growth Corporation,Canada Revenue Agency (CRA),16060137.47
909306,2021-03-10,Bell Textron Canada Limited,Canada Emergency Wage Subsidy (CEWS),15778842
910831,2021-04-12,CNOOC Petroleum North America ULC,Canada Emergency Wage Subsidy (CEWS) (CRA),15349667
907473,2021-01-13,Louisiana-Pacific Corporation,Canada Revenue Agency (CRA),12100000
907915,2021-02-02,Schneider Electric Canada Inc.,Canada Revenue Agency (CRA),12025677
908460,2021-02-08,Alstom Transport Canada Inc.,Canada Revenue Agency (CRA),11784000
908948,2021-03-01,Medisys Health Group Inc.,Canada Revenue Agency (CRA),10278466.06
909670,2021-04-06,Toyota Canada Inc.,Canada Revenue Agency (CRA),9685902
909982,2021-03-17,Organigram,Canada Revenue Agency (CRA),7893326
908829,2021-02-16,Ivaco Rolling Mills,Canada Revenue Agency (CRA),7000000
907415,2021-02-08,ATCO Ltd.,Canada Revenue Agency (CRA),6364574
908297,2021-02-04,Methanex Corporation,Canada Revenue Agency (CRA),5947978.91
908768,2021-02-15,Aphria Inc.,Canada Revenue Agency (CRA),5089635.55
909220,2021-03-02,Hewlett Packard Enterprise Canada Co.,Canada Revenue Agency (CRA),4811467
909320,2021-03-01,Score Media and Gaming Inc.,Canada Revenue Agency (CRA),4400000
907538,2021-02-26,Cermaq Canada,Canada Revenue Agency (CRA),4301244
907100,2021-01-08,Tourmaline Oil Corp.,Government of Canada - Canada Emergency Wage Subsidy (CEWS),4251707
908462,2021-02-08,Tesla Motors Canada ULC,Canada Revenue Agency / Dept. of Finance Canada,4208700.72
907155,2021-01-05,Top Aces Inc.,Canada Revenue Agency (CRA),4152614
903352,2021-02-10,Optel Group,Canada Revenue Agency (CRA),3739353
909418,2021-03-04,Exceldor cooperative,Canada Revenue Agency (CRA),3531920
908656,2021-02-11,Canada Malting Company Ltd.,Canada Revenue Agency (CRA),3436776
910825,2021-04-12,Toronto Region Board of Trade,Canada Revenue Agency (CRA),3185036
907537,2021-01-15,"J.D. Irving, Limited",Canada Revenue Agency (CRA),3055278.84
911236,2021-04-20,AddEnergie,Canada Revenue Agency (CRA),2911286
